Atomic-Number,Element,Symbol,Atomic-Weight,CPK-color-hex-format,Period,Group,Phase,bonding-type,Most-Stable-Crystal,Type,Ionic-Radius,Atomic-Radius,EA-kJ/mol,Electronegativity,First-Ionization-kJ/mol,Density,Melting-Point-(K),Boiling-Point-(K),Isotopes,Discoverer,oxidation-states,Year-Discovery,Specific-Heat-Capacity,Electron-Configuration
92,Uranium,U,238.02891,008FFF,7,21,solid,metallic,orth,Actinide,0.52,No-info,No-info,1.38,598,18.95,1405.15,4404,15,Peligot,3/ 4/ 5/ 6,1841,0.116,[Rn] 5f3 6d1 7s2
93,Neptunium,Np,237,0080FF,7,22,artificial,metallic,orth,Actinide,0.75,No-info,No-info,1.36,605,20.45,913.15,4273,153,McMillan and Abelson,3/ 4/ 5/ 6/ 7,1940,No-info,[Rn] 5f4 6d1 7s2
94,Plutonium,Pu,244,006BFF,7,23,artificial,metallic,mno,Actinide,0.89,No-info,No-info,1.28,585,19.84,913.15,3501,163,Seaborg et al.,3/ 4/ 5/ 6/ 7,1940,No-info,[Rn] 5f6 7s2
95,Americium,Am,243,545CF2,7,24,artificial,metallic,hex,Actinide,0.98,No-info,No-info,1.3,578,13.69,1267.15,2880,133,Seaborg et al.,2/ 3/ 4/ 5/ 6,1944,No-info,[Rn] 5f7 7s2
96,Curium,Cm,247,785CE3,7,25,artificial,metallic,hex,Actinide,0.97,No-info,No-info,1.3,581,13.51,1340.15,3383,133,Seaborg et al.,03-Apr,1944,No-info,No-info
97,Berkelium,Bk,247,8A4FE3,7,26,artificial,metallic,hex,Actinide,0.95,No-info,No-info,1.3,601,14.79,1259.15,983,83,Seaborg et al.,03-Apr,1949,No-info,No-info
98,Californium,Cf,251,A136D4,7,27,artificial,metallic,hex,Actinide,0.93,No-info,No-info,1.3,608,15.1,1925.15,1173,123,Seaborg et al.,02-03-2004,1950,No-info,No-info
99,Einsteinium,Es,252,B31FD4,7,28,artificial,No-info,hex,Actinide,No-info,No-info,No-info,1.3,619,13.5,1133.15,No-info,123,Ghiorso et al.,02-Mar,1952,No-info,No-info
100,Fermium,Fm,257,B31FBA,7,29,artificial,No-info,No-info,Actinide,No-info,No-info,No-info,1.3,627,No-info,No-info,No-info,103,Ghiorso et al.,02-Mar,1953,No-info,No-info
101,Mendelevium,Md,258,B30DA6,7,30,artificial,No-info,No-info,Actinide,No-info,No-info,No-info,1.3,635,No-info,No-info,No-info,33,Ghiorso et al.,02-Mar,1955,No-info,No-info
102,Nobelium,No,259,BD0D87,7,31,artificial,No-info,No-info,Actinide,No-info,No-info,No-info,1.3,642,No-info,No-info,No-info,73,Ghiorso et al.,02-Mar,1958,No-info,No-info
103,Lawrencium,Lr,262,C70066,7,32,artificial,No-info,No-info,Actinide,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,203,Ghiorso et al.,3,1961,No-info,No-info
104,Rutherfordium,Rf,261,CC0059,7,4,artificial,No-info,No-info,Transactinide,No-info,No-info,No-info,No-info,No-info,18.1,No-info,No-info,No-info,Ghiorso et al.,4,1969,No-info,No-info
105,Dubnium,Db,262,D1004F,7,5,artificial,No-info,No-info,Transactinide,No-info,No-info,No-info,No-info,No-info,39,No-info,No-info,No-info,Ghiorso et al.,No-info,1970,No-info,No-info
106,Seaborgium,Sg,266,D90045,7,6,artificial,No-info,No-info,Transactinide,No-info,No-info,No-info,No-info,No-info,35,No-info,No-info,No-info,Ghiorso et al.,No-info,1974,No-info,No-info
107,Bohrium,Bh,264,E00038,7,7,artificial,No-info,No-info,Transactinide,No-info,No-info,No-info,No-info,No-info,37,No-info,No-info,No-info,Armbruster and Munzenberg,No-info,1981,No-info,No-info
108,Hassium,Hs,267,E6002E,7,8,artificial,No-info,No-info,Transactinide,No-info,No-info,No-info,No-info,No-info,41,No-info,No-info,No-info,Armbruster and Munzenberg,No-info,1983,No-info,No-info
109,Meitnerium,Mt,268,EB0026,7,9,artificial,No-info,No-info,Transactinide,No-info,No-info,No-info,No-info,No-info,35,No-info,No-info,No-info,GSI/ Darmstadt/ West Germany,No-info,1982,No-info,No-info
110,Darmstadtium,Ds,271,No-info,7,10,artificial,No-info,No-info,Transactinide,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info
111,Roentgenium,Rg,272,No-info,7,11,artificial,No-info,No-info,Transactinide,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info
112,Copernicium,Cn,285,No-info,7,12,artificial,No-info,No-info,Transactinide,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info
113,Ununtrium,Uut,284,No-info,7,13,artificial,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info
114,Ununquadium,Uuq,289,No-info,7,14,artificial,No-info,No-info,Transactinide,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info
115,Ununpentium,Uup,288,No-info,7,15,artificial,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info
116,Ununhexium,Uuh,292,No-info,7,16,artificial,No-info,No-info,Transactinide,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info
117,Ununseptium,Uus,295,No-info,7,17,artificial,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info
118,Ununoctium,Uuo,294,No-info,7,18,artificial,No-info,No-info,Noble Gas,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info,No-info
119,UnUnnanoium,Uun,250,)x4834,7,18,gas,covalent,bcc,non-metal,Noinfop,no,no,no,non,no,no,no,no,non,no,no,no,non
